Codigo,Clase,Familia,Descripcion,Tallas,Marca,Color,Composicion,Precio_reg,Precio_final
335204,BOLSAS,DE MANO,ECOMM BOLSA SATCHEL ISABELLA NEGRO SUAVIZADO,10,GUESS FACTORY,NEGRO,PVC 100 %.,2599,2599
335238,BLUSA JUVENIL,MODA ML,"FM BLUSA CUELLO RUSO MANGA LARGA CON CON ESPALDA DESCUBIERTA, COLOR JASPE",50/70/90/110/130/150,NAKED WARDROBE,JASPE,BAMBOO 95 %. SPANDEX 5 %.,179,179
335255,BOLSAS,DE MANO,ECOMM BOLSA SATCHEL ISABELLA NEGRO SUAVIZADO,10,GUESS FACTORY,NEGRO,PVC 100 %.,2199,2199
335262,BOLSAS,DE MANO,ECOMM BOLSA SATCHEL ISABELLA CAFÉ ESTAMPADO,10,GUESS FACTORY,CAFE,PVC 100 %.,2199,2199
335265,BOLSAS,DE MANO,ECOMM BOLSA SATCHEL ISABELLA CAFÉ ESTAMPADO,10,GUESS FACTORY,CAFE,PVC 100 %.,2599,2599
335267,BOLSAS,DE MANO,ECOMM BOLSA SATCHEL ISABELLA ROSA ESTAMPADO,10,GUESS FACTORY,ROSA,PVC 100 %.,2199,2199
335269,ACCESORIOS,CARTERA,CARTERA PORTA CELULAR PHONE ORGANIZER CARLA NEGRO,10,GUESS FACTORY,NEGRO,PVC 100 %.,1199,1199
335272,UNIFORMES COPPEL,DAMAS,CAMISOLA DE MEZCLILLA INDIGO CON ANTIREFLEJANTE DAMA 2025,240/260/280/300/320/340/360/380/400/420/440/460,SIN MARCA,AZUL,ALGODON 100 %.,699,699
335277,BLUSA JUVENIL,MODA ML,"FM BLUSA CUELLO RUSO MANGA LARGA CON CON ESPALDA DESCUBIERTA, COLOR MOKA",50/70/90/130/150/170,NAKED WARDROBE,CAFE,BAMBOO 95 %. SPANDEX 5 %.,179,179
335285,BLUSA JUVENIL,MODA SM,FM TOPS MARCA HOLLISTER,50/70,HOLLISTER,VERDE,ALGODON 100%.,299,49
335294,ACCESORIOS,CARTERA,ECOMM CARTERA CON ESTAMPADO,10,GUESS FACTORY,NEGRO,POLIURETANO 100%.,1199,1199
